configuration,question,expected_document_id,answer,retrieved_ids,relevance,explanation,generation_model,judge_model,error
baseline_prompt,Where do I go to rent a badminton racket?,faq-001,"To rent a badminton racket, you should go to the front desk at the Main Club, subject to availability.","[""faq-002"", ""faq-001"", ""facility-001"", ""course-002"", ""course-001""]",RELEVANT,"The answer directly addresses the question by providing a specific location (the front desk at the Main Club) where the user can rent a badminton racket. It also notes the condition of availability, which is relevant information.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,How long can I book a court for my practice session?,policy-002,You can book a court for your practice session in 60-minute time slots.,"[""policy-002"", ""course-001"", ""facility-001"", ""faq-002"", ""faq-001""]",RELEVANT,"The answer directly addresses the question by specifying the duration for which a court can be booked, and it is clear and complete without unsupported claims.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,What facilities does the club offer for playing badminton?,facility-001,"The club offers badminton courts, change rooms, seating areas, and equipment rental for playing badminton.","[""facility-001"", ""faq-002"", ""faq-001"", ""dropin-001"", ""policy-001""]",RELEVANT,"The answer directly addresses the question by listing the facilities available for playing badminton at the club. It is clear and sufficiently complete, without any unsupported or contradictory claims.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Is there a chance that rackets might not be available for rental?,faq-001,"Yes, there is a chance that rackets might not be available for rental, as they are subject to availability.","[""faq-001"", ""policy-001"", ""dropin-001"", ""course-002"", ""facility-001""]",RELEVANT,The answer directly addresses the user's question about the availability of rackets for rental and clearly states that there is a chance they may not be available.,gpt-4o-mini,gpt-4o-mini,
baseline_prompt,What kind of lesson is available for small groups at the club?,course-002,"A semi-private lesson is available for small groups at the club, designed for two to four players of a similar skill level.","[""course-002"", ""course-001"", ""faq-001"", ""dropin-001"", ""policy-001""]",RELEVANT,"The answer directly addresses the user's question by describing the type of lesson available for small groups, specifically mentioning the semi-private lesson for two to four players of similar skill level, which is clear and complete.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,What type of shoes are required for playing badminton here?,faq-002,Players should bring indoor court shoes for playing badminton here.,"[""faq-002"", ""dropin-001"", ""course-002"", ""faq-001"", ""facility-001""]",RELEVANT,"The answer directly addresses the question by specifying that players should wear indoor court shoes for playing badminton, which is clear and complete.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Where are the semi-private lessons held at the badminton club?,course-002,The semi-private lessons at the badminton club are held at the Main Club.,"[""course-002"", ""facility-001"", ""policy-001"", ""coach-001"", ""faq-001""]",RELEVANT,"The answer directly addresses the question by providing a clear location for the semi-private lessons, which is the Main Club.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Do I need to register to attend the beginner drop-in?,dropin-001,"Yes, you need to register to attend the beginner drop-in.","[""dropin-001"", ""coach-001"", ""faq-002"", ""faq-001"", ""course-001""]",RELEVANT,"The answer directly addresses the question, is clear, and provides complete information regarding the need to register for the beginner drop-in.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Can I take private lessons with Coach Amy?,coach-001,"Yes, you can take private lessons with Coach Amy.","[""coach-001"", ""coach-002"", ""policy-001"", ""course-001"", ""course-002""]",RELEVANT,"The answer directly addresses the user question by confirming that private lessons with Coach Amy are available, and it is clear and complete.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Where can I find Coach David for lessons?,coach-002,You can find Coach David for lessons at the Main Club.,"[""coach-002"", ""coach-001"", ""policy-001"", ""faq-001"", ""course-002""]",RELEVANT,"The answer directly addresses the question by providing the location where Coach David can be found for lessons, and it is clear and complete.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Can I join a semi-private lesson with a friend who has the same skill level as me?,course-002,"Yes, you can join a semi-private lesson with a friend who has the same skill level as you, as these lessons are designed for players of a similar skill level.","[""course-002"", ""course-001"", ""policy-001"", ""coach-001"", ""faq-001""]",RELEVANT,"The answer directly addresses the user question, providing clear and complete information about joining a semi-private lesson with a friend of the same skill level.",gpt-4o-mini,gpt-4o-mini,
baseline_prompt,Is there a drop-in session for beginners at the club?,dropin-001,"Yes, there is a drop-in session for beginners at the club. It is suitable for new and recreational players, but registration is required and spaces are limited.","[""dropin-001"", ""course-001"", ""faq-001"", ""facility-001"", ""policy-002""]",RELEVANT,"The answer directly addresses the question by confirming the presence of a drop-in session for beginners, providing additional context about suitability and registration requirements, and is complete and clear.",gpt-4o-mini,gpt-4o-mini,
